sku,rating,good points,bad points
AEBAD60001,9,comfortabel en past perfect,nope
ADBDF10001,8,Warm,Voelt wat straks aan aan binnenzijde
ADBDF10001,9,"Pasvorm is perfect,warm,mooie afwerking.",Nee
ADBDF10001,9,Gewoon goed.,Wachten op kouder weer
ADBGF00012,7,"Goeie pasvorm, mooie kleuren",Mocht iets warmer zijn
ADBGF00012,9,Zit heerlijk,Geen (snot) handschoen in de jas
ADBGF00012,8,Mooie lichte jas met voldoende warmte voor activiteiten.,"Fjallraven heeft altijd wat moeite met de maat. M iets wat klein, L meteen te groot."
B12AH90047,9,Kwaliteit.,Extra zakken zou prettig zijn.
B12ACB0163,8,"Paform, lengtemaat",Niet gevonden
B12ACB0163,10,"Prettige jas, goed ingedeeld en zakken groot genoeg om met handschoenen in te kunnen",Capuchon verwijderbaar zou hem perfect maken.
B12ABB0185,8,"Leuke kleuren, lekker licht en dun. En warm.","Ja, de oorspronkelijke prijs is echt veeeeeeel te hoog! Nu in de sale met 60% korting net leuk."
B12ABB0185,10,"Bijzonder, warm, lichtgewicht, fijn merk, duurzaam","Prijzig, maar erg leuke jas."
ADBCF00062,3,Goede materialen,Slechte verdeling van de voering. Bij beide mouwen was de voering in een kant geconcentreerd waardoor de voorkant van beide armen onvoldoende warm werden gehouden.
ADBCF00062,8,"Afneembare capuchon, bondje is los afneembaar.  Voldoende ritsen.  Geschikt voor de kou, houdt je lichaam lekker warm.  Waterafstotend, de druppels blijven er dan ook echt opleggen.","De ritsschakels lijken van kunststof, dit had best van metaal gemogen, dit zal de levensduur van de rits tegoede komen. Kunststof schakels gaan eerder kapot, hier al een slechte ervaring mee gehad met een blackbananas jas die na 1,5 jaar al een kapotte rits had"
ADBCF00062,10,"Warm, comfortabel, grote zakken.",Rits is even wennen
ADBCF00062,10,Warm tegelijk lange jas die ook waterdicht is,De rits aan de onderkant zou iets open mogen maar dat doe ik zelf met de hand anders kan je niet hurken of bukken
ADBCF00062,7,De kwaliteit,De maat voering ik heb een S en zelfs die is iets aan de grote kant
ADBDF10003,6,Fijne en warme jas met een mooi model,Ondanks het stevige uiterlijk van de jas lijkt hij erg kwetsbaar en was hij bij mij al beschadigd na 2 keer gebruik.
ADBCF10008,7,Mooie stijlvolle jas Rits met handschoenen goed te bedienen Zelfsluitende elastische sneeuw/windvanger achterin de jas,Rits extreem stroef Mouwen (manchetten) sluiten niet goed af om de pols Geen onderkoord  Vanwege rits teruggestuurd
B12AE90100,9,dun maar warm en waterdicht,Ik vind de capuchon lastig stellen
