sku,sentiment,text
IABED90028,positief,Halve maat groter bestellen is wel echt nodig
IABED90028,positief,Schoen valt klein. Ik heb één maat groter besteld en dat was prima.
IABED90028,negatief,"Héle kleine pasvorm. Schoenen eigenlijk net te klein gekocht, als je ze aanpast dan 'gaat het wel', maar als je er een tijdje op loopt gaat het knellen. Minimaal 1 of 1,5 maat boven je reguliere maat kopen - had ik eerder moeten weten."
IABED90028,negatief,"Valt erg klein, zelf een hele maat groter zit nog aan de krappe kant"
IABED90028,negatief,"De schoen valt klein, dus neem minimaal 1 maat groter dan je gewoonlijk draagt"
IABED90028,neutraal,geen
IABED90028,negatief,"Valt veelt te klein, maat groter besteld dan normaal maar valt nog steeds veel te klein."
IABED90028,neutraal,??
IABED90028,positief,Beter gaat gauw los
IABED90028,neutraal,Meer in andere kleurstelling
IABED90028,positief,De lichte kleur suède is erg kwetsbaar voor vlekken.
IABED90028,positief,Als het heel mooi weer is lijken ze een beetje warm
IABED90028,negatief,Het in de schoen komen is lastig.
IABED90028,negatief,De ?lip?/neus begint nu al los te laten! Erg jammer! Ik weet niet wat ik moet doen? Secondelijm?
IABED90028,positief,Fijne mooi schoenen
IABED90028,positief,"Mooie, kwalitatief goede schoen. Ik heb een brede voet met hoge wreef en de schoen zit goed."
IABED90028,positief,"Heel mooi design, goede materialen."
IABED90028,positief,"Mooi design, comfortabel"
IABED90028,positief,Sterk en prettig!
IABED90028,positief,"Goede kwaliteit, loopt lekker en ze zijn knap :)"
IABED90028,neutraal,"comfort en uitelijk ech iets anders dan gevestigde orde, doet me denken aan pubertijd, toen droeg ik ook vaak Karhu."
IABED90028,positief,Mooi
IABED90028,positief,Goeie pasvorm
IABED90028,positief,"Voelt licht aan, comfortabele pasvorm"
IABED90028,neutraal,Pasvorm
IABED90028,neutraal,Stijl pasvorm
IABED90028,positief,"Heerlijke sneakers, zeer comfortabel, stevig en vind ze heel mooi, ben er erg blij mee. Ik zocht goede en leuke sneakers om lange stukken te wandelen, deze zijn precies wat ik zocht. Ze zijn niet goedkoop maar het is de investering waard."
IABED90028,neutraal,prijs/kwaliteit
IABED90028,positief,"Ze lopen lekker,  passen goed en  zien er  mooi enleuk uit"
IABED90028,neutraal,Pasvorm en demping
IABED90028,positief,Ziet er cool uit
IABEE10005,neutraal,"Weinig versteviging in de zool, maar dat was ook te verwachten"
IABEE10005,positief,"Sneaker is niet duur, dus verwacht geen top kwaliteit. Wel leuk voor 2 seizoenen"
IABEE10005,positief,Mooie en stevige stof
IABEE10005,positief,Het is een super hippe sneaker voor heel weinig geld
IABEF10006,negatief,Maatvoering. Schoenen vallen klein. Ik heb 1 maat groter besteld.
IABEF10006,negatief,De schoenen vallen erg klein. Je moet zeker een maat groter bestellen
IABEF10006,positief,"Schoen is vrij broeierig, door het gebruikte materiaal. Als je last hebt van zweetvoeten, zeker niet nemen. Materiaal is ook lastig schoon te maken. De voetbolling van de zool is erg hoog. Oncomfortabel. Ik heb de bolling uit de zool geknipt. Nu loopt het prima."
IABEF10006,neutraal,Geen
IABEF10006,positief,"Werd aangegeven dat de schoen klein uit zal vallen. Dus maatje te groot gekocht. Bleek onnodig. Dus de eigen maat gekocht, perfect!"
IABEF10006,positief,"Mooi, goed voetbed."
IABEF10006,neutraal,Ontwerp
IABEF10006,positief,"Goede pasvorm, leuke kleuren, lopen heerlijk!"
IABEF10006,positief,Flexibele schoen Lichte schoen Mooi design
IABEF10006,neutraal,Het comfort bij het dragen/lopen
IABEF10006,positief,Goed zittende schoen. Mooie stijl.
HDFAD90002,positief,Voetbed kan wat meer steun gebruiken maar gelet op vergelijkbare boots is dit voor de functie prima.
HDFAD90002,neutraal,Geen
HDFAD90002,positief,"Meerdere kleuren beschikbaar, bijna alles was niet op voorraad."
HDFAD90002,negatief,Als er daadwerkelijk min punten waren had ik dit product niet aangeschaft
HDFAD90002,neutraal,Nee
HDFAD90002,neutraal,Nvt
HDFAD90002,neutraal,Nog scherper prijzen..?
HDFAD90002,neutraal,Kan iets ruimer op de wreef.
HDFAD90002,neutraal,Geen
HDFAD90002,neutraal,Geen
HDFAD90002,negatief,Vrij breed.
HDFAD90002,negatief,"De schoen is onvoldoende bestand tegen koude tenen, ondanks de belofte dat dat aanwezig zou zijn tot -25."
HDFAD90002,positief,Binnenlaars gaat er te makkelijk uit bij uitdoen van de laars
